track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,track_artist_tuple,Unnamed: 0,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Explicit Track.1,Unnamed: 29,category
2tTmW7RDtMQtBk7m2rYeSw,"Bizarrap,Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",99,198937,0,0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,128.033,4,hip-hop,"('Quevedo: Bzrp Music Sessions, Vol. 52', 'Bizarrap,Quevedo')",452,"Villano Antillano: Bzrp Music Sessions, Vol. 51","Villano Antillano: Bzrp Music Sessions, Vol. 51 - Single",Bizarrap,06-08-2022,UYB282201027,1633,36.2,305438624,54393,11174340,65,320765258.0,3672582.0,,,,5446011.0,27.0,10341.0,239.0,8.0,173006.0,35.0,440147.0,392.0,,625330.0,1,1,,0
2ux2dwUgqfj1EKRp963HEW,Adele,Rolling in the Deep,Rolling in the Deep - Acapella,49,236777,0,0.736,0.142,7,-16.603,0,0.0385,0.771,0.0,0.0735,0.476,105.034,4,british,"('Rolling in the Deep - Acapella', 'Adele')",74,Rolling in the Deep - Acapella,Rolling In The Deep,Adele,16-01-2011,GBBKS1000427,2800,26.5,11170019,1580,217023,36,2522903197.0,13159087.0,,,,2055207182.0,,349469.0,,1.0,208.0,,,,,,0,0,,0
5TXDeTFVRVY7Cvt0Dw4vWW,XXXTENTACION,17,Revenge,87,120026,1,0.746,0.251,11,-16.169,0,0.259,0.782,0.00203,0.106,0.18,139.999,4,emo,"('Revenge', 'XXXTENTACION')",3541,Revenge,Revenge,XXXTENTACION,18-05-2017,USUYG1142409,2955,25.6,1356969354,13248,2447818,53,74514608.0,1012321.0,,,,212.0,6.0,,,,,,,,120102744.0,,1,1,,0
67BtfxlNbhBmCDR2L2l8qd,Lil Nas X,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),79,137875,1,0.61,0.508,8,-6.682,0,0.152,0.297,0.0,0.384,0.758,178.818,4,hip-hop,"('MONTERO (Call Me By Your Name)', 'Lil Nas X')",1995,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,24-03-2021,USSM12100532,2067,31.7,1902241314,7736,1546777,44,577007299.0,11124112.0,,,,2455399379.0,94.0,16421.0,,6.0,3447.0,1.0,,,,,0,0,,0
6OufwUcCqo81guU2jAlDVP,Shouse,Love Tonight,Love Tonight - Edit,78,241970,0,0.727,0.681,5,-7.114,0,0.0265,0.00214,0.000307,0.0861,0.448,123.028,4,house,"('Love Tonight - Edit', 'Shouse')",3027,Love Tonight - Edit,Love Tonight,Shouse,14-12-2017,USQY51798087,3213,24.3,450102131,176711,27362214,65,,,174000.0,33094580.0,513770838.0,,68.0,198098.0,,48.0,2955834.0,23.0,199734.0,1050.0,21847523.0,,0,0,,0
748mdHapucXQri7IAO8yFK,"Doja Cat,SZA",Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),82,208866,1,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,4,dance,"('Kiss Me More (feat. SZA)', 'Doja Cat,SZA')",904,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,04-08-2021,USRC12100760,2083,31.6,1823871908,8460,1666482,46,462218257.0,4949298.0,,,,2309356254.0,90.0,111842.0,,2.0,6198.0,2.0,,,,,0,0,,0
30GqVivI3eb7OgonUemcjf,MC Fioti,Joga O Bum Bum Tam Tam,Joga O Bum Bum Tam Tam,61,155454,1,0.932,0.485,9,-8.926,1,0.0965,0.609,0.0295,0.141,0.43,131.959,4,funk,"('Joga O Bum Bum Tam Tam', 'MC Fioti')",2236,Joga o Bum Bum Tam Tam,Bum Bum Tam Tam,MC Fioti,14-06-2017,PTVI11700181,2019,32.1,191584138,1656,120121,34,1924788325.0,15940525.0,,,,151086411.0,10.0,,,,,,9035349.0,7602.0,,,1,1,,0
6kkD5wZyq1L1ousAXSvqsI,CoComelon,"CoComelon Kids Hits, Vol. 7",If You're Happy and You Know It,56,168000,0,0.93,0.477,5,-10.455,1,0.0898,0.657,0.0,0.143,0.967,119.997,4,children,"(""If You're Happy and You Know It"", 'CoComelon')",709,If You're Happy and You Know It (Clap Your Hands),Circle Time Singalong,CoComelon,06-10-2022,UKP3G2004606,3514,23.0,433037,120,15324,20,386932138.0,889910.0,,,,34561.0,4.0,1.0,,,,,418696.0,737.0,,,0,0,,0
1ozrNv9W4KlprAmvgH0Yrq,Guru Randhawa,"High Rated Gabru (From ""Nawabzaade"")","High Rated Gabru (From ""Nawabzaade"")",60,179099,0,0.685,0.841,2,-2.932,0,0.0942,0.118,0.0,0.26,0.59,97.929,4,hip-hop,"('High Rated Gabru (From ""Nawabzaade"")', 'Guru Randhawa')",1331,"High Rated Gabru (From ""High Rated Gabru"")",High Rated Gabru,Guru Randhawa,07-04-2017,INS181701138,1981,32.4,37248788,8023,1580067,50,1900711176.0,10412989.0,,,,170150228.0,14.0,54.0,,,,2.0,,,,276435.0,0,0,,0
4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,SOUR,good 4 u,88,178146,1,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,4,pop,"('good 4 u', 'Olivia Rodrigo')",2559,good 4 u,good 4 u,Olivia Rodrigo,14-05-2021,USUG12101253,1009,47.8,2167768056,12805,3065794,54,,,,,,,93.0,819886.0,,6.0,192922.0,2.0,,,,7171230.0,0,0,,0
