track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,track_artist_tuple,Unnamed: 0,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Explicit Track.1,Unnamed: 29,category
1eadPrzB2P0ikQcqhKSAtv,Bad Wolves,Disobey,Zombie,66,254805,0,0.448,0.826,2,-3.244,0,0.0319,0.00756,0.0,0.117,0.19,77.093,4,metal,"('Zombie', 'Bad Wolves')",338,Zombie,Zombie,Bad Wolves,19-01-2018,USDPK1800004,3718,22.2,391235723,77293,8225027,6,133338318.0,1407929.0,104019.0,14567512.0,193481131.0,2330.0,9.0,60942.0,12.0,8.0,9221.0,33.0,300045453.0,184086.0,,5361011.0,0,0,,1
2ooF4088y5L72c4YTEJQoB,XXXTENTACION,Revenge,YuNg BrAtZ,76,101851,1,0.755,0.695,9,-5.963,1,0.26,0.0179,0.0,0.107,0.493,128.063,4,emo,"('YuNg BrAtZ', 'XXXTENTACION')",3540,YuNg BrAtZ,Revenge,XXXTENTACION,16-05-2017,USUYG1142051,1950,32.6,442472374,85567,16713395,68,99029913.0,1622141.0,469276.0,58969522.0,437018233.0,1895476.0,7.0,9.0,,,,1.0,24600240.0,32645.0,128221222.0,1002168.0,1,1,,1
042Sl6Mn83JHyLEqdK7uI0,Billie Eilish,Happier Than Ever,Your Power,77,245896,0,0.632,0.284,9,-14.025,0,0.0801,0.932,0.000476,0.233,0.208,129.642,4,electro,"('Your Power', 'Billie Eilish')",427,Your Power,Your Power,Billie Eilish,29-04-2021,USUM72105934,2838,26.3,423439672,79149,22567177,68,170437339.0,4244477.0,124714.0,54016040.0,347631092.0,47423810.0,130.0,51953.0,33.0,28.0,568814.0,43.0,15646904.0,6432.0,,1144737.0,0,0,,1
2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood (Deluxe),Youngblood,81,203417,0,0.596,0.854,7,-5.114,0,0.463,0.0169,0.0,0.124,0.152,120.274,4,dance,"('Youngblood', '5 Seconds of Summer')",46,Youngblood,Youngblood,5 Seconds of Summer,04-12-2018,GBUM71800366,811,53.9,1790579305,180069,75602805,76,792369989.0,7627895.0,226361.0,15100678.0,81167209.0,225749952.0,148.0,298540.0,164.0,33.0,444155.0,64.0,394705510.0,159091.0,,10854729.0,0,0,,1
5uU1uuyaUIBOiiUSQG7Wl3,Morgan Wallen,You Proof,You Proof,86,157477,0,0.731,0.85,9,-4.913,1,0.0336,0.252,0.0,0.605,0.644,119.706,4,country,"('You Proof', 'Morgan Wallen')",2374,You Proof,You Proof,Morgan Wallen,13-05-2022,USUG12203266,494,69.3,644437397,64367,18795673,79,141964689.0,814824.0,128357.0,28267176.0,327463451.0,437506457.0,49.0,340292.0,301.0,7.0,100845.0,29.0,272571584.0,45356.0,6380974.0,899954.0,0,0,,1
45bE4HXI0AwGZXfZtMp8JR,Tate McRae,you broke me first,you broke me first,84,169265,1,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,4,pop,"('you broke me first', 'Tate McRae')",3172,you broke me first,you broke me first,Tate McRae,17-04-2020,USRC12000832,409,75.6,1439465700,169076,47204234,77,706284693.0,7820244.0,880567.0,188771287.0,1383885042.0,947613259.0,238.0,395572.0,776.0,65.0,1097172.0,38.0,175068272.0,92428.0,20648981.0,5808069.0,1,1,,1
7lAK3oHbfEnvUQWosrMMpR,Travis Scott,ASTROWORLD,YOSEMITE,75,150043,1,0.785,0.554,0,-6.571,1,0.0409,0.283,3.4e-06,0.116,0.144,128.047,4,house,"('YOSEMITE', 'Travis Scott')",3386,YOSEMITE,ASTROWORLD,Travis Scott,08-03-2018,USSM11806669,4408,19.9,646744185,131213,18096403,68,161578216.0,1576117.0,8999.0,3009068.0,25055075.0,32615566.0,44.0,1231.0,47.0,28.0,137307.0,10.0,58077529.0,20858.0,,1564987.0,1,1,,1
6TEftSkmWdTm1EpThnwqh6,Imagine Dragons,Mercury - Acts 1 & 2,Wrecked,73,244004,0,0.625,0.562,0,-5.828,0,0.0289,0.149,1.67e-05,0.109,0.229,93.998,4,rock,"('Wrecked', 'Imagine Dragons')",1421,Wrecked,Wrecked,Imagine Dragons,07-02-2021,USUM72110166,2153,31.0,309587427,57487,5571645,64,199356851.0,1545728.0,13246.0,4225615.0,34312597.0,318221542.0,38.0,114484.0,64.0,15.0,234536.0,31.0,99574335.0,12684.0,,3334562.0,0,0,,1
7lQ8MOhq6IN2w8EYcFNSUk,Eminem,The Eminem Show,Without Me,88,290320,1,0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238,4,hip-hop,"('Without Me', 'Eminem')",1082,Without Me,The Source - Hip Hop Hits Vol. 6,Eminem,01-01-2002,USIR10211038,3210,24.3,2146682342,397228,83160830,83,347730526.0,3552978.0,761633.0,27141268.0,177890147.0,22608265.0,118.0,2668.0,69.0,83.0,2953010.0,38.0,424694899.0,223248.0,36224403.0,13371463.0,1,1,,1
1CIlKWhwH35XcCzpofRjux,Arctic Monkeys,Why'd You Only Call Me When You're High?,Why'd You Only Call Me When You're High?,49,161123,0,0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,4,garage,"(""Why'd You Only Call Me When You're High?"", 'Arctic Monkeys')",198,Why'd You Only Call Me When You're High?,Why''d You Only Call Me When You''re High?,Arctic Monkeys,01-01-2013,GBCEL1300370,3008,25.4,1687828519,272010,71727595,80,527397003.0,5344645.0,8490.0,8308615.0,45596295.0,16319566.0,69.0,14702.0,349.0,43.0,280766.0,26.0,121399211.0,37985.0,,3369366.0,0,0,,1
