track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,track_artist_tuple,Unnamed: 0,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Explicit Track.1,Unnamed: 29,category
4IaxDf2FixiQXq0mW7key9,Jessi,ZOOM,ZOOM,78,174840,0,0.874,0.6,6,-6.064,1,0.158,0.00942,0.0,0.126,0.457,100.012,4,k-pop,"('ZOOM', 'Jessi')",1571,ZOOM,ZOOM,Jessi,13-04-2022,KRA382204517,850,52.6,166161044,22288,7774873,61,303569838.0,5827005.0,3903605.0,865870535.0,9393168416.0,146065235.0,5.0,5680.0,32.0,5.0,53217.0,8.0,,,,778299.0,0,0,,3
536vha5aAUhlb50NGDfzfa,flora cash,You're Somebody Else (Acoustic),You're Somebody Else - Acoustic,59,219029,0,0.379,0.247,1,-9.959,1,0.0399,0.932,3.6e-06,0.107,0.37,205.561,4,swedish,"(""You're Somebody Else - Acoustic"", 'flora cash')",1172,You're Somebody Else,Nothing Lasts Forever (And It's Fine),flora cash,21-04-2017,SEXCG1700102,4025,21.2,473059298,108732,25587455,62,302782709.0,3261634.0,402646.0,123479947.0,793624604.0,21754797.0,39.0,50039.0,59.0,24.0,142965.0,22.0,71313267.0,29455.0,9351732.0,4844008.0,0,0,,3
1KIJclzEbNhSVw8tiHPWwE,Vacations,Vibes,Young,83,189160,0,0.498,0.81,7,-4.065,1,0.0263,0.00392,0.00717,0.0635,0.594,79.935,4,indie,"('Young', 'Vacations')",3480,Young,Vibes,Vacations,12-09-2016,SEYOK1669274,4431,19.8,597591280,136878,25723483,74,105282082.0,1803716.0,454382.0,226996966.0,1487039791.0,,15.0,269.0,10.0,,,8.0,4444885.0,5086.0,23290198.0,1723404.0,0,0,,3
68EkhVWIeULhHxcbi1QhzK,AJR,OK ORCHESTRA,World's Smallest Violin,80,180746,1,0.68,0.697,5,-7.01,1,0.0484,0.121,0.0,0.661,0.684,116.033,4,rock,"(""World's Smallest Violin"", 'AJR')",96,World's Smallest Violin,OK ORCHESTRA,AJR,01-01-2021,QMRSZ2003324,2165,30.8,343227483,71196,5509068,63,239480315.0,4107386.0,532614.0,652146812.0,6292383402.0,988296994.0,9.0,38402.0,554.0,4.0,65921.0,6.0,8090551.0,75244.0,4172343.0,2936528.0,1,1,,3
27OeeYzk6klgBh83TSvGMA,The Kid LAROI,F*CK LOVE (SAVAGE),WITHOUT YOU,80,161384,1,0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005,4,hip-hop,"('WITHOUT YOU', 'The Kid LAROI')",3266,WITHOUT YOU,F*CK LOVE (SAVAGE),The Kid LAROI,11-06-2020,USSM12006586,524,67.0,927908363,192182,29317288,69,201781716.0,2768029.0,1806340.0,276254807.0,2189403368.0,106102604.0,179.0,534728.0,803.0,41.0,391181.0,22.0,78876080.0,52624.0,,,1,1,,3
3fVnlF4pGqWI9flVENcT28,Taylor Swift,1989,Wildest Dreams,80,220440,0,0.553,0.664,8,-7.417,1,0.0741,0.0709,0.0056,0.106,0.467,140.06,4,pop,"('Wildest Dreams', 'Taylor Swift')",3186,Wildest Dreams,1989 (Deluxe),Taylor Swift,01-01-2014,USCJY1431379,2771,26.7,964058806,102916,33415141,70,930982185.0,5528129.0,339413.0,137427132.0,1025978293.0,1227241692.0,76.0,5572.0,150.0,9.0,130475.0,6.0,450171421.0,240224.0,,5306715.0,0,0,,3
3zhbXKFjUDw40pTYyCgt1Y,TWICE,Summer Nights,What is Love,75,208240,0,0.574,0.909,8,-1.573,1,0.0658,0.0987,0.0,0.264,0.569,169.966,4,k-pop,"('What is Love', 'TWICE')",3432,What is Love,What Is Love,TWICE,04-09-2018,US5TA1800038,3365,23.6,442941122,37463,7860589,67,885861488.0,8213650.0,477246.0,138993009.0,995480226.0,50891052.0,21.0,2538.0,14.0,2.0,33570.0,,,,,702566.0,0,0,,3
3NxuezMdSLgt4OwHzBoUhL,SHAUN,Take,Way Back Home,71,214136,0,0.745,0.739,10,-4.591,1,0.0327,0.405,0.000183,0.127,0.556,99.913,4,k-pop,"('Way Back Home', 'SHAUN')",3010,Way Back Home,Take,SHAUN,27-06-2018,KRF221800012,4475,19.7,211581810,29803,3666168,63,137544172.0,1154680.0,4469485.0,209217443.0,3149064834.0,,13.0,144.0,1.0,3.0,16529.0,26.0,107648.0,,,1277487.0,0,0,,3
6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Fine Line,Watermelon Sugar,89,174000,0,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,4,pop,"('Watermelon Sugar', 'Harry Styles')",1359,Watermelon Sugar,Watermelon Sugar,Harry Styles,17-11-2019,USSM11912587,243,99.7,2708151499,298135,159003869,82,872052223.0,11269126.0,1375118.0,301076974.0,2738127473.0,2170262684.0,554.0,647363.0,914.0,557.0,4404589.0,101.0,133633509.0,253839.0,,9612968.0,0,0,,3
5e08a8D8T3z4LDXbUIjxKQ,WILLOW,ARDIPITHECUS,Wait a Minute!,69,196520,0,0.764,0.705,3,-5.279,0,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003,4,pop,"('Wait a Minute!', 'WILLOW')",3512,Wait a Minute!,ARDIPITHECUS,WILLOW,01-11-2015,QMJMT1500801,2678,27.2,1081039358,220073,41752381,73,422709495.0,5234949.0,1620541.0,275664623.0,2051079047.0,70203.0,65.0,14873.0,,31.0,308544.0,17.0,31208630.0,67960.0,,7344889.0,0,0,,3
